sample_id,image_id,image_file,image_path,reference_cultural_terms,reference_facets,references,vig_prediction,cultural_entity_missed,template_bias,object_hallucination,notes,draft_recovered_terms,draft_missing_terms,draft_possible_hallucinated_terms
11,6370,00000006370.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000006370.jpg,kiến_trúc_cổ,kiến_trúc-cảnh_quan,có một cô gái đang mặc bộ váy màu hồng ||| có một cô gái mặc váy đang đứng ở giữa đường ||| ở trên đường có một cô gái mặc váy màu hồng ||| ở trên đường có sự xuất_hiện của một cô gái mặc váy ||| có một ngôi nhà có kiến_trúc cổ ở phía xa_xa của bức ảnh,ở trên đường có sự xuất_hiện của một cô gái mặc áo_dài,Y,N,N,miss=kiến_trúc_cổ; generic_cues=2; AI draft; cần duyệt bằng ảnh,,kiến_trúc_cổ,
12,3051,00000003051.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000003051.jpg,nhà_cổ; đèn_lồng,kiến_trúc-cảnh_quan; trang_trí,một cô gái đang ngồi ở trên dãy ghế gỗ ||| có một cô gái mặc váy vàng đang ngồi trên ghế ||| có những chiếc đèn_lồng được treo ở trên trần ngôi nhà ở phía sau ||| ở phía sau của cô gái là một gian nhà cổ ||| có những chiếc đèn_lồng được treo ở không gian phía trên gian nhà cổ,có một cô gái đang ngồi ở trước một ngôi nhà cổ,Y,N,N,recover=nhà_cổ; miss=đèn_lồng; generic_cues=2; AI draft; cần duyệt bằng ảnh,nhà_cổ,đèn_lồng,
13,4576,00000004576.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000004576.jpg,khu_di_tích; di_tích_lịch_sử; nhà_cổ,kiến_trúc-cảnh_quan,một cô gái mặc váy xanh đang đi trước cổng khu di_tích ||| có một toà nhà cổ ở phía sau lưng của cô gái ||| ở phía sau lưng của cô gái là một cánh cổng lớn ||| ở phía sau lưng của cô gái là một khu di_tích lịch_sử ||| cô gái đang đi bộ ở trước một khu di_tích lịch_sử,có một cô gái mặc áo_dài đang đứng ở trước ngôi đền,Y,N,N,"miss=khu_di_tích,di_tích_lịch_sử,nhà_cổ; generic_cues=2; AI draft; cần duyệt bằng ảnh",,khu_di_tích; di_tích_lịch_sử; nhà_cổ,
14,4828,00000004828.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000004828.jpg,nhà_thờ,kiến_trúc-cảnh_quan,có một cây thông noel ở phía trước của nhà_thờ ||| ở phía sau của cây thông noel là một nhà_thờ ||| có một nhà_thờ xuất_hiện ở phía sau của cây thông noel ||| có đông người đang tụ_tập ở phía trước của nhà_thờ ||| ở phía trước của nhà_thờ có sự xuất_hiện của một cây thông noel,đây là khung_cảnh xuất_hiện ở phía trước một nhà_thờ,N,N,N,recover=nhà_thờ; generic_cues=1; AI draft; cần duyệt bằng ảnh,nhà_thờ,,
15,1899,00000001899.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000001899.jpg,toà_thành_cổ; thành_cổ,kiến_trúc-cảnh_quan,có một cái hồ ở gần với toà thành cổ ||| có một cái hồ xuất_hiện gần khu_vực có toà thành cổ ||| ở gần toà thành cổ là một cái hồ nước ||| ở một bên toà thành cổ có một cái hồ nước ||| có một cái hồ nước ở gần toà thành cổ,có một toà thành cổ xuất_hiện ở trong bức ảnh,N,N,N,"recover=toà_thành_cổ,thành_cổ; generic_cues=2; AI draft; cần duyệt bằng ảnh",toà_thành_cổ; thành_cổ,,
16,211,00000000211.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000211.jpg,chợ; nón_lá,sinh_hoạt; trang_phục,có nhiều người đang tham_gia mua_bán trong phiên chợ ||| có nhiều người đang xuất_hiện trong một khu chợ ||| có nhiều người đang đội nón lá ở trong khu chợ ||| có nhiều người đang đội nón lá ở trong phiên chợ ||| có nhiều người đội nón lá đang ở trong khu chợ,có nhiều người đang di_chuyển ở trên một khu chợ,Y,Y,N,recover=chợ; miss=nón_lá; generic_cues=1; AI draft; cần duyệt bằng ảnh,chợ,nón_lá,
17,111,00000000111.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000111.jpg,nón_lá,trang_phục,có một cậu bé đang vác theo một chiếc xe_đạp ||| có một chiếc xe_đạp đang ở trên con thuyền ||| ở trên con thuyền đang có một chiếc xe_đạp ||| có một người phụ_nữ đội nón lá đang chèo thuyền ||| có một người phụ_nữ đội nón lá đang nắm lấy tay chèo,ở trên mặt_nước có sự xuất_hiện của một chiếc thuyền,Y,Y,REVIEW,miss=nón_lá; generic_cues=2; possible_hallucination=mặt_nước; AI draft; cần duyệt bằng ảnh,,nón_lá,mặt_nước
18,415,00000000415.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000415.jpg,đèn_lồng,trang_trí,có những chiếc đèn_lồng được treo ở phía trước của toà nhà cũ ||| một ngôi nhà cũ đang trong trạng_thái mở_cửa ||| có một ngôi nhà có tường màu vàng ở trong bức ảnh ||| đây là bức ảnh chụp mặt trước của một toà nhà có tường màu vàng ||| ở phía trước của căn nhà được trang_trí bằng những chiếc đèn_lồng,đây là hình_ảnh chụp ở phía trước của một ngôi nhà,Y,N,N,miss=đèn_lồng; AI draft; cần duyệt bằng ảnh,,đèn_lồng,
19,1384,00000001384.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000001384.jpg,xuồng; ghe,phương_tiện,có một nhóm người đang khám_phá khu rừng bằng thuyền ||| có một nhóm người đang di_chuyển bằng thuyền ở trên sông ||| có một con ghe đang chở người ở trên mặt_nước ||| ở trên mặt_nước có một con ghe chở người ||| có một chiếc xuồng chở người đang di_chuyển trong rừng,ở trên mặt_nước có sự xuất_hiện của một chiếc thuyền,Y,Y,N,"miss=xuồng,ghe; generic_cues=2; AI draft; cần duyệt bằng ảnh",,xuồng; ghe,
20,363,00000000363.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000363.jpg,áo_dài,trang_phục,có một cô gái mặc áo_dài đang đứng trên con phố ||| có một cô gái mặc áo_dài trắng xuất_hiện trên con phố ||| ở trên con phố có một cô gái mặc áo_dài trắng ||| có một cô gái mặc áo_dài trắng đang tạo_dáng chụp ảnh trên phố ||| có những chiếc xe_máy được dựng ở hai bên của con phố,có một cô gái mặc áo_dài đang đi bộ ở trên đường,N,N,REVIEW,recover=áo_dài; generic_cues=1; possible_hallucination=đường; AI draft; cần duyệt bằng ảnh,áo_dài,,đường
21,579,00000000579.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000579.jpg,cờ,biểu_tượng,có nhiều xe_cộ đang lưu_thông ở trên đường ||| có một nhóm những chiếc xe_máy đang di_chuyển xung_quanh chiếc ô_tô ||| có một nhóm những chiếc xe_máy đang di_chuyển xung_quanh chiếc xe_hơi ||| có một cái cột có treo lá cờ ở một bên đường ||| có một lá cờ được treo ở cái cột một bên đường,có nhiều phương_tiện giao_thông đang di_chuyển ở trên đường,Y,N,N,miss=cờ; AI draft; cần duyệt bằng ảnh,,cờ,
22,653,00000000653.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000653.jpg,khu_di_tích,kiến_trúc-cảnh_quan,có một chàng trai đang đứng trước cổng vào một khu di_tích ||| đây là khung_cảnh chụp vào buổi đêm ở khu_vực cổng vào khu di_tích ||| ở cổng vào khu di_tích có một chàng trai mặc áo đen ||| một nam thanh_niên mặc áo đen đang di_chuyển lên bậc thềm ||| một nam thanh_niên mặc áo đen đang ở khu_vực cổng vào khu di_tích,ở phía trước của toà thành có sự xuất_hiện của một người,Y,Y,N,miss=khu_di_tích; generic_cues=2; AI draft; cần duyệt bằng ảnh,,khu_di_tích,
23,1335,00000001335.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000001335.jpg,xích_lô,phương_tiện,có những chiếc mặt_nạ được treo ở trên bức tường ||| có những cái mặt_nạ treo trên một bức tường ||| những chiếc xích_lô đang di_chuyển nối_tiếp nhau trên đường ||| ở trên đường có những chiếc xích_lô đang di_chuyển ||| ở trên đường có sự xuất_hiện của những chiếc xích_lô,có một_vài chiếc xích_lô đang di_chuyển ở trên đường,N,N,N,recover=xích_lô; AI draft; cần duyệt bằng ảnh,xích_lô,,
24,2803,00000002803.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000002803.jpg,hàng_rong,sinh_hoạt,một bà_cụ đang gánh một cái đòn_gánh trên vai ||| một bà_cụ đang vác một gánh hàng rong ở trên đường ||| ở trên vỉa_hè có một bà_cụ đang gánh một gánh hàng rng ||| có một người mặc áo trắng đang ngồi trong căn nhà ||| có những chiếc thang được đặt ở bên ngoài của ngôi nhà,người phụ_nữ đội nón lá đang đứng ở trên vỉa_hè,Y,Y,REVIEW,miss=hàng_rong; generic_cues=1; possible_hallucination=nón lá; AI draft; cần duyệt bằng ảnh,,hàng_rong,nón lá
25,3789,00000003789.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000003789.jpg,đèn_lồng; chợ; chợ_đêm,trang_trí; sinh_hoạt,có những chiếc đèn_lồng được treo ở không gian phía trên khu chợ ||| ở không gian phía trên của khu chợ có những chiếc đèn_lồng ||| có những chiếc đèn_lồng được treo ở trên khu chợ đêm ||| đây là khung_cảnh xuất_hiện vào buổi đêm ở một khu chợ ||| đây là khung_cảnh xuất_hiện ở một khu chợ đêm,có những chiếc đèn_lồng được treo ở trên trần nhà,Y,N,N,"recover=đèn_lồng; miss=chợ,chợ_đêm; AI draft; cần duyệt bằng ảnh",đèn_lồng,chợ; chợ_đêm,
26,843,00000000843.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000843.jpg,khu_phố_cổ,kiến_trúc-cảnh_quan,một chàng trai đang đứng ở ban_công một toà nhà ||| trên ban_công có một chàng trai đang nhìn khung_cảnh ở phía trước ||| có một cái đèn ở khu_vực lan_can nơi chàng trai đang đứng ||| có một khu_phố cổ xuất_hiện ở phía dưới của khung_cảnh ||| ở trên ban_công có một chàng trai đang tạo_dáng chụp ảnh,có một người đàn_ông mặc áo trắng đang đứng ở trên đường,Y,Y,REVIEW,miss=khu_phố_cổ; generic_cues=3; possible_hallucination=đường; AI draft; cần duyệt bằng ảnh,,khu_phố_cổ,đường
27,10498,00000010498.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000010498.jpg,khu_di_tích; kiến_trúc_cổ,kiến_trúc-cảnh_quan,có một cô gái đang tạo_dáng chụp ảnh trước một bức tường có kiến_trúc cổ ||| ở phía trước bức tường cổ có một cô gái mặc áo đen ||| có một cô gái đang tạo_dáng chụp ảnh ở trước một khu di_tích ||| có một cô gái xuất_hiện phía trước bức tường cổ ||| có một cô gái đang tạo_dáng chụp ảnh trước một bức tường cổ,có một cặp đôi đang đứng trước một ngôi nhà cổ,Y,N,N,"miss=khu_di_tích,kiến_trúc_cổ; generic_cues=1; AI draft; cần duyệt bằng ảnh",,khu_di_tích; kiến_trúc_cổ,
28,381,00000000381.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000381.jpg,chợ,sinh_hoạt,có nhiều người đang xuất_hiện ở trong khu chợ ||| có nhiều người đang mua_bán hàng_hoá trong chợ ||| có nhiều người đang trao_đổi hàng_hoá bên trong chợ ||| ở bên trong chợ có nhiều người đang trao_đổi hàng_hoá ||| đây là khung_cảnh xuất_hiện ở bên trong một khu chợ,có nhiều người đang ngồi ở trong khu chợ,N,N,N,recover=chợ; generic_cues=2; AI draft; cần duyệt bằng ảnh,chợ,,
29,630,00000000630.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000630.jpg,đèn_lồng; ghe,trang_trí; phương_tiện,một cô gái đang ngồi ở khu_vực bên bờ sông ||| có những chiếc đèn_lồng được trang_trí ở trên chiếc ghe ||| ở trên chiếc ghe trước mặt cô gái có những chiếc đèn_lồng ||| có nhiều chiếc thuyền đang đậu ở bên bờ biển ||| ở trên mặt_nước trước mặt cô gái có sự xuất_hiện của những chiếc thuyền,có một cô gái đang ngồi ở trên một chiếc thuyền,Y,Y,N,"miss=đèn_lồng,ghe; generic_cues=2; AI draft; cần duyệt bằng ảnh",,đèn_lồng; ghe,
30,1847,00000001847.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000001847.jpg,xuồng; nón_lá,phương_tiện; trang_phục,có một nhóm người đang ngồi trên một chiếc xuồng ||| có một chiếc xuồng chở người đang di_chuyển trên sông ||| có những bụi cây_xanh ở hai bên của dòng sông ||| ở hai bên của dòng sông có những bụi cây_xanh ||| có một người phụ_nữ mặc áo cam và đội nón lá đang cầm mái_chèo,có một chiếc xuồng đang di_chuyển trên mặt_nước,Y,N,REVIEW,recover=xuồng; miss=nón_lá; possible_hallucination=mặt_nước; AI draft; cần duyệt bằng ảnh,xuồng,nón_lá,mặt_nước
31,563,00000000563.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000563.jpg,áo_dài,trang_phục,một ông cụ mặc áo_dài đen đang gõ trống ||| có một ông cụ mặc áo_dài đen đang đứng trước cái trống ||| ở trước cái trống có một ông cụ mặc áo_dài đen ||| có một nhóm người đang tụ_tập ở khu_vực các bậc thềm ||| ở trên các bậc thềm có nhiều người đang tụ_tập,có một nhóm người đang đứng ở trên sân_khấu,Y,Y,N,miss=áo_dài; generic_cues=1; AI draft; cần duyệt bằng ảnh,,áo_dài,
32,303,00000000303.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000303.jpg,ghe,phương_tiện,có những bức tượng được trưng_bày ở trong căn phòng ||| có những bức tượng được trưng_bày trong bảo_tàng ||| ở trong bảo_tàng có một nhóm du_khách tham_quan ||| có một nhóm người đang đứng nghe một người đàn_ông_đội mũ đen thuyết_trình ||| ở trước mặt nhóm du_khách có những bức tượng,có một nhóm người đang tham_quan trong căn phòng trưng_bày,Y,N,N,miss=ghe; AI draft; cần duyệt bằng ảnh,,ghe,
33,1291,00000001291.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000001291.jpg,cờ,biểu_tượng,có hai lá cờ được treo ở phía trước một căn nhà ||| có một người đàn_ông đang dắt theo một đứa bé ở dưới nhà ||| có một người đàn_ông đang dắt một em bé ở dưới nhà ||| ở dưới nhà có một người đàn_ông dắt theo một đứa bé ||| có hai lá cờ được treo ở không gian phía trên của ngôi nhà,có một người đàn_ông đang đứng ở trên vỉa_hè,Y,Y,REVIEW,miss=cờ; generic_cues=3; possible_hallucination=vỉa_hè; AI draft; cần duyệt bằng ảnh,,cờ,vỉa_hè
34,939,00000000939.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000939.jpg,khu_di_tích,kiến_trúc-cảnh_quan,có một nhóm người đang đứng trước một khu di_tích ||| có một nhóm người đang tụ_tập trước khu di_tích ||| có một nhóm người đang trò_chuyện trước khu di_tích ||| ở trước khu di_tích có một nhóm người đang tụ_tập ||| ở trước khu di_tích có một nhóm người đang trò_chuyện với nhau,có nhiều người đang đứng trước một khu di_tích,N,N,N,recover=khu_di_tích; generic_cues=2; AI draft; cần duyệt bằng ảnh,khu_di_tích,,
35,4688,00000004688.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000004688.jpg,xích_lô,phương_tiện,hai người đàn_ông ngồi trên xích_lô đang trao_đổi với nhau ||| hai người đàn_ông trên xích_lô đang nói_chuyện với nhau ||| có hai chiếc xích_lô đang di_chuyển bên cạnh nhau ||| ở trên đường có sự xuất_hiện của hai chiếc xích_lô ||| ở trên đường có hai chiếc xích_lô đang đi cạnh nhau,ở trên đường có sự xuất_hiện của những chiếc xích_lô,N,N,N,recover=xích_lô; generic_cues=2; AI draft; cần duyệt bằng ảnh,xích_lô,,
36,4847,00000004847.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000004847.jpg,hàng_rong; nón_lá,sinh_hoạt; trang_phục,có một người đội nón lá đang gánh một cái đòn_gánh ||| một người đội nón lá đang gánh hàng rong trên vỉa_hè ||| ở trên vỉa_hè có một người đang gánh hàng rong ||| có một giàn hoa_màu tím ở trước ngôi nhà có tường màu vàng ||| ở bên đường có một người đang gánh một cái đòn_gánh,có một người phụ_nữ đội nón lá đang đứng ở trên đường,Y,N,N,recover=nón_lá; miss=hàng_rong; generic_cues=3; AI draft; cần duyệt bằng ảnh,nón_lá,hàng_rong,
37,4271,00000004271.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000004271.jpg,chợ; chợ_đêm,sinh_hoạt,có nhiều người đang tham_gia vào khu chợ đêm ||| ở trong khu chợ đêm có nhiều người tham_gia ||| đây là khung_cảnh xuất_hiện ở một khu chợ đêm ||| có nhiều người đang đứng ở trước các quầy hàng bên đường ||| ở bên đường có sự xuất_hiện của nhiều quầy hàng,có nhiều người đang xuất_hiện ở bên trong khu chợ,Y,Y,N,recover=chợ; miss=chợ_đêm; generic_cues=2; AI draft; cần duyệt bằng ảnh,chợ,chợ_đêm,
38,4809,00000004809.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000004809.jpg,đèn_lồng; khu_phố_cổ,trang_trí; kiến_trúc-cảnh_quan,có những chiếc đèn_lồng được treo ở không gian phía trên của khu_phố ||| ở không gian phía trên của khu_phố có sự xuất_hiện của những chiếc đèn_lồng ||| có những chiếc đèn_lồng được trang_trí ở không gian phía trên khu_phố ||| có những chiếc xe_đạp xuất_hiện ở hai bên đường ||| đây là khung_cảnh chụp vào buổi đêm ở một khu_phố cổ,có những chiếc đèn_lồng được treo ở trên đường,Y,N,N,recover=đèn_lồng; miss=khu_phố_cổ; AI draft; cần duyệt bằng ảnh,đèn_lồng,khu_phố_cổ,
39,371,00000000371.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000371.jpg,nón_lá,trang_phục,có một cô gái đội nón rộng vành đang đứng trên đường ||| ở trên đường có sự xuất_hiện của một cô gái ||| có một cô gái đang đứng trước một cửa_hàng quần_áo ||| có một cửa_hàng quần_áo ở phía sau lưng cô gái váy hồng ||| có một cô gái mặc váy hồng đang đứng trên con phố,có một cô gái mặc áo_dài đang đứng ở trên vỉa_hè,Y,N,REVIEW,miss=nón_lá; generic_cues=2; possible_hallucination=vỉa_hè; AI draft; cần duyệt bằng ảnh,,nón_lá,vỉa_hè
40,933,00000000933.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000933.jpg,đèn_lồng,trang_trí,có những chiếc xe_đạp ở trước sân của quán ||| ở trước sân của quán có sự xuất_hiện của những chiếc xe_đạp ||| có những chiếc đèn_lồng được treo ở trước ngôi nhà gỗ ||| đây là khung_cảnh chụp ở phía trước một ngôi nhà gỗ ||| ở trước ngôi nhà gỗ có sự xuất_hiện của một dây đèn_lồng màu vàng,có một_vài chiếc đèn_lồng được treo ở trên vỉa_hè,N,N,REVIEW,recover=đèn_lồng; possible_hallucination=vỉa_hè; AI draft; cần duyệt bằng ảnh,đèn_lồng,,vỉa_hè
41,1888,00000001888.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000001888.jpg,xuồng; nón_lá,phương_tiện; trang_phục,một nhóm người đang di_chuyển ở trên dòng nước bằng xuồng ||| có những chiếc xuồng có viền màu xanh xuất_hiện trên mặt_nước ||| có những cô gái đội nón lá đang ngồi cùng nhau trên một cái xuồng ||| có hai cô gái đeo kính_râm đang tạo_dáng chụp ảnh ||| có những chiếc thuyền có viền màu xanh đang đậu ở trên sông,có một_vài người đang di_chuyển ở trên mặt_nước,Y,N,N,"miss=xuồng,nón_lá; AI draft; cần duyệt bằng ảnh",,xuồng; nón_lá,
42,2474,00000002474.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000002474.jpg,áo_dài; nón_lá,trang_phục,một cô gái đội nón lá đang tạo_dáng bên con sông ||| một cô gái mặc váy trắng đang đội một chiếc nón lá ||| có một chiếc nón lá ở trên đầu cô gái mặc áo_dài trắng ||| có một cây cầu bắc ngang qua con sông ở phía sau cô gái ||| ở phía sau cô gái là một cây cầu bắc qua sông,có một cô gái đội nón lá đang đứng ở bên bờ sông,Y,N,N,recover=nón_lá; miss=áo_dài; generic_cues=2; AI draft; cần duyệt bằng ảnh,nón_lá,áo_dài,
43,582,00000000582.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000000582.jpg,ghe,phương_tiện,một nhóm người đang đứng trước một bức tượng đồng ||| có một nhóm người đang đeo tai nghe trước một bức tượng ||| một bức tượng xuất_hiện ở trước mặt của nhóm người ||| có những bức tượng được trưng_bày ở trong căn phòng ||| có một nhóm người xuất_hiện ở trước bức tượng đồng,có nhiều người đang tham_quan trong căn phòng trưng_bày,Y,Y,N,miss=ghe; generic_cues=1; AI draft; cần duyệt bằng ảnh,,ghe,
44,1339,00000001339.jpg,/home/henry/Documents/KLTN/data/public-test-images/00000001339.jpg,cờ,biểu_tượng,có hai cô gái đang đứng bên một quầy hàng bánh_kẹo ||| có những lá cờ đỏ sao_vàng ở trên quầy hàng ||| ở trên quầy hàng có hai lá cờ đỏ sao_vàng ||| ở hai cô gái đang cùng nhìn về một cái hộp màu nâu ||| cô gái mặc áo trắng đang cầm trên tay một cái hộp,có nhiều hàng_hoá xuất_hiện ở trên kệ hàng,Y,N,N,miss=cờ; AI draft; cần duyệt bằng ảnh,,cờ,
