image_id,image_filename,reviewed,needs_review,caption_quality,specificity,cultural_entity_missed,template_bias,object_hallucination,wrong_object_or_action,language_issue,expected_cultural_terms,predicted_cultural_terms,explanation,updated_at
208,00000000208.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như xe và ô_tô; bỏ sót/giảm nhẹ các chi tiết bãi, đỗ, khu_vực và xe_hơi; lệch sang các chi tiết đường.",2026-06-06T20:38:19+00:00
211,00000000211.jpg,True,False,partial,specific,True,False,False,False,False,chợ;nón_lá,chợ,"Prediction đúng bối cảnh chung là khu chợ có nhiều người, nhưng bỏ sót yếu tố văn hóa `nón_lá` và bối cảnh `chợ_phiên` được nhấn mạnh trong reference.",2026-06-06T19:09:35+00:00
225,00000000225.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như bãi và một_vài; bỏ sót/giảm nhẹ các chi tiết cát, cầm, tay, tấm và ván; lệch sang các chi tiết biển.",2026-06-06T20:38:34+00:00
228,00000000228.jpg,True,False,wrong,generic,True,True,True,True,False,đèn_lồng,,"ViG dự đoán “có một cô gái đang ngồi ở trên vỉa hè”, mô tả được một chủ thể người trong ảnh nhưng chưa phản ánh đúng trọng tâm. Prediction bỏ sót yếu tố văn hóa `đèn_lồng`, một chi tiết quan trọng trong mô tả gốc. Ngoài ra, caption chuyển trọng tâm sang “vỉa hè”, trong khi reference tập trung vào không gian quán nước và vật trang trí.",2026-06-06T19:10:57+00:00
243,00000000243.jpg,True,False,partial,specific,False,False,True,True,False,,,"ViG mô tả đúng một số chi tiết như siêu_thị, xe và đẩy; bỏ sót/giảm nhẹ các chi tiết cặp, đôi, bé, quầy và hàng; lệch sang các chi tiết hai.",2026-06-06T20:38:50+00:00
245,00000000245.jpg,True,False,wrong,generic,False,True,True,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết xe_đạp, tủ, kính, đặt và trưng_bày; lệch sang các chi tiết bộ, bàn_ghế, gỗ, căn và phòng.",2026-06-06T20:39:07+00:00
284,00000000284.jpg,True,False,partial,generic,False,True,False,False,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết ba, tượng_hình, trưng_bày, em và đội; lệch sang các chi tiết nhóm.",2026-06-06T20:39:24+00:00
296,00000000296.jpg,True,False,partial,generic,False,True,False,False,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết quán, cà_phê, chụp, mặt và cửa; lệch sang các chi tiết vỉa_hè, một_vài và xe_máy.",2026-06-06T20:39:44+00:00
297,00000000297.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như cửa_hàng, bày_bán và mặt_hàng; bỏ sót/giảm nhẹ các chi tiết loại, hàng_hoá, bày, kệ và hàng.",2026-06-06T20:39:50+00:00
303,00000000303.jpg,True,False,correct,specific,False,False,False,False,False,,,,2026-06-06T19:12:03+00:00
306,00000000306.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như toà và nhà; bỏ sót/giảm nhẹ các chi tiết gấu, mặt, chụp, buổi và đêm.",2026-06-06T20:39:55+00:00
313,00000000313.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như xe_cộ, đường và di_chuyển; bỏ sót/giảm nhẹ các chi tiết ngã, tư, khu_vực, nhìn và cao.",2026-06-06T20:40:01+00:00
319,00000000319.jpg,True,False,partial,generic,False,False,False,False,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết toà, nhà, tụ_tập và khu_vực; lệch sang các chi tiết siêu_thị.",2026-06-06T20:40:18+00:00
322,00000000322.jpg,True,False,unsure,generic,False,True,False,False,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết phố, tường, cũ, đầu và nguời; lệch sang các chi tiết vỉa_hè và xe_máy.",2026-06-06T20:40:53+00:00
324,00000000324.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như kệ, hàng và bày_bán; bỏ sót/giảm nhẹ các chi tiết sản_phẩm, sữa, bày, cửa_hàng và bán; lệch sang các chi tiết mặt_hàng.",2026-06-06T20:40:59+00:00
331,00000000331.jpg,True,False,correct,specific,False,False,False,False,False,xích_lô,xích_lô,"Prediction đã nhắc đúng marker văn hóa `xích_lô`, nhưng còn khái quát và bỏ sót các chi tiết như đoàn xe nối đuôi nhau trên phố và `mặt_nạ` treo trong reference.",2026-06-06T19:12:48+00:00
342,00000000342.jpg,True,False,wrong,generic,False,True,True,True,False,,áo_dài,"ViG mô tả đúng một số chi tiết như mặc; bỏ sót/giảm nhẹ các chi tiết trắng, cánh, đồng, áo và tạo_dáng; sinh thêm cultural term áo_dài không phù hợp với ảnh; lệch sang các chi tiết áo_dài và đường.",2026-06-06T20:41:16+00:00
343,00000000343.jpg,True,False,wrong,specific,False,False,True,True,False,,nón_lá,"ViG mô tả đúng một số chi tiết như tay và cầm; bỏ sót/giảm nhẹ các chi tiết điện_thoại, che, ô, hai và bãi; sinh thêm cultural term nón_lá không phù hợp với ảnh; lệch sang các chi tiết nón và lá.",2026-06-06T20:41:30+00:00
349,00000000349.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như đường và di_chuyển; bỏ sót/giảm nhẹ các chi tiết xe_đạp, đạp, hàng, cây và tre.",2026-06-06T20:41:36+00:00
352,00000000352.jpg,True,False,wrong,generic,False,False,False,False,False,,khu_di_tích,"ViG mô tả đúng một số chi tiết như nhóm; bỏ sót/giảm nhẹ các chi tiết cổng_chào, khu_vực, cùng, nhau và tụ_tập; sinh thêm cultural term khu_di_tích không phù hợp với ảnh; lệch sang các chi tiết khu và di_tích.",2026-06-06T20:41:55+00:00
355,00000000355.jpg,True,False,wrong,generic,False,True,False,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết đường, mái, tranh, di_chuyển và khu_vực; lệch sang các chi tiết sân và hai.",2026-06-06T20:42:08+00:00
361,00000000361.jpeg,True,False,partial,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như mặc, đồ, bảo_hộ và cầm; bỏ sót/giảm nhẹ các chi tiết cây_bút, xanh, cây_viết, trắng và nhìn; lệch sang các chi tiết lọ.",2026-06-06T20:42:19+00:00
363,00000000363.jpg,True,False,partial,specific,True,False,False,False,False,áo_dài,áo_dài,"Prediction đã nhắc đúng marker văn hóa `áo_dài`, nhưng còn bỏ sót các chi tiết như áo dài trắng, bối cảnh trên phố và hành động tạo dáng/chụp ảnh.",2026-06-06T19:14:56+00:00
367,00000000367.jpg,True,False,wrong,generic,False,True,True,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết cậu, bé, đội, mũ và vẽ; lệch sang các chi tiết tường.",2026-06-06T20:42:31+00:00
371,00000000371.jpg,True,False,wrong,generic,False,True,True,True,True,,áo_dài,"Prediction đúng chủ thể “cô gái” và tư thế đứng, nhưng sai trang phục khi sinh thêm cultural term `áo_dài`; ảnh/reference không thể hiện áo dài mà nhấn mạnh váy hồng, nón rộng vành và bối cảnh đường/cửa hàng quần áo.",2026-06-06T19:17:21+00:00
381,00000000381.jpg,True,False,correct,specific,False,False,False,False,False,chợ,chợ,"Prediction đúng bối cảnh khu chợ và nhiều người, nhưng còn chung chung vì bỏ sót hàng hoá và hoạt động trao đổi/mua bán được nhấn mạnh trong reference.",2026-06-06T19:17:57+00:00
386,00000000386.jpg,True,False,partial,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như sông; bỏ sót/giảm nhẹ các chi tiết thuyền, đậu, cạnh, nhau và phố; lệch sang các chi tiết đường.",2026-06-06T20:42:41+00:00
396,00000000396.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như hàng và quầy; bỏ sót/giảm nhẹ các chi tiết gói, gian_hàng, bày, cầm và tay; lệch sang các chi tiết hai.",2026-06-06T20:42:50+00:00
403,00000000403.jpg,True,False,correct,specific,False,False,False,False,False,nón_lá,nón_lá,"Prediction đã nhắc đúng marker văn hóa `nón_lá`, nhưng bỏ sót các chi tiết cây, cầu và váy cam; đồng thời thêm bối cảnh “trên sông”.",2026-06-06T19:18:32+00:00
404,00000000404.jpg,True,False,wrong,generic,False,True,True,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết tủ, đồ_ăn, đội, mũ_bảo_hiểm và trắng; lệch sang các chi tiết túi.",2026-06-06T20:43:02+00:00
414,00000000414.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như cửa_hàng; bỏ sót/giảm nhẹ các chi tiết giày, trưng_bày, chụp, đôi và giày_dép.",2026-06-06T20:43:15+00:00
415,00000000415.jpg,True,False,partial,specific,True,False,False,False,False,đèn_lồng,,"Prediction chỉ mô tả chung là mặt trước của một ngôi nhà, nhưng bỏ sót yếu tố văn hóa `đèn_lồng` và các chi tiết quan trọng như tòa nhà cũ, tường vàng.",2026-06-06T19:19:16+00:00
419,00000000419.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như quần_áo, cửa_hàng, mặt_hàng và bày_bán; bỏ sót/giảm nhẹ các chi tiết hai, treo, quầy và hàng.",2026-06-06T20:43:20+00:00
428,00000000428.jpg,True,False,wrong,generic,True,True,True,True,False,hàng_rong,,"Prediction lệch trọng tâm khi chỉ mô tả một người đàn ông cầm bó hoa, trong khi reference nhấn mạnh cảnh người bán hàng rong di chuyển trên đường phố; bỏ sót yếu tố văn hóa `hàng_rong`.",2026-06-06T19:20:20+00:00
429,00000000429.jpg,True,False,wrong,generic,False,True,False,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết vỉa_hè, ấm_chén, nhóm, trưng_bày và khu_vực; lệch sang các chi tiết một_vài, căn và nhà.",2026-06-06T20:43:34+00:00
452,00000000452.png,True,False,unsure,generic,False,True,False,False,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết mỉm, cười, áo, nâu và quầy; lệch sang các chi tiết bàn.",2026-06-06T20:43:46+00:00
454,00000000454.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như đường, một_vài và di_chuyển; bỏ sót/giảm nhẹ các chi tiết làng, cổng, bộ và sông.",2026-06-06T20:43:52+00:00
472,00000000472.jpg,True,False,wrong,generic,False,False,False,True,True,,,"ViG mô tả đúng một số chi tiết như đồ và trang_trí; bỏ sót/giảm nhẹ các chi tiết mặt_hàng, cửa_hàng, bày_bán và khu_vực; lệch sang các chi tiết quầy, hàng, bán và giáng_sinh.",2026-06-06T20:44:07+00:00
488,00000000488.jpg,True,False,wrong,unsure,False,False,True,True,False,,,"ViG mô tả đúng một số chi tiết như hai, hàng và quầy; bỏ sót/giảm nhẹ các chi tiết cùng, nhau, mua, siêu_thị và cạnh.",2026-06-06T20:44:21+00:00
490,00000000490.jpg,True,False,partial,generic,False,False,False,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết cặp, đôi, mỗi, ba và chụp; lệch sang các chi tiết nắm, tay và nhau.",2026-06-06T20:44:41+00:00
493,00000000493.jpg,True,False,wrong,generic,False,True,False,True,False,,áo_dài,"ViG mô tả đúng một số chi tiết như mặc; bỏ sót/giảm nhẹ các chi tiết tạo_dáng, chụp, áo, đen và xa_xa; sinh thêm cultural term áo_dài không phù hợp với ảnh; lệch sang các chi tiết áo_dài và cầu.",2026-06-06T20:44:59+00:00
507,00000000507.jpg,True,False,partial,specific,False,True,False,False,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết cửa_sổ, loại, hàng_hoá, khu_vực và căn.",2026-06-06T20:58:56+00:00
509,00000000509.jpg,True,False,partial,specific,True,False,False,False,False,khu_di_tích;ngôi_chùa,khu_di_tích;di_tích_lịch_sử,"Prediction mô tả đúng bối cảnh chung là khu di tích/lịch sử, nhưng còn quá khái quát và bỏ sót cultural entity cụ thể `ngôi_chùa` cùng các chi tiết như lối đi, cửa và nhóm người di chuyển.",2026-06-06T19:21:52+00:00
510,00000000510.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như hai và hàng; bỏ sót/giảm nhẹ các chi tiết hộp, xanh, dương, tay và mặc;",2026-06-06T20:45:39+00:00
520,00000000520.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như ngôi, nhà và cũ; bỏ sót/giảm nhẹ các chi tiết vỉa_hè, khu_vực và khu_phố.",2026-06-06T20:45:50+00:00
522,00000000522.jpg,True,False,partial,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như bày_bán và cửa_hàng; bỏ sót/giảm nhẹ các chi tiết kính, quầy, hàng, bán_kính và loại; lệch sang các chi tiết mặt_hàng, đồ và trang_trí.",2026-06-06T20:46:02+00:00
528,00000000528.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như kệ; bỏ sót/giảm nhẹ các chi tiết mặc, áo, đỏ, tay và hộp;",2026-06-06T20:46:25+00:00
534,00000000534.jpg,True,False,partial,specific,True,False,False,False,False,chợ;chợ_đêm,,"Prediction quá chung khi chỉ mô tả nhiều người di chuyển trên đường, trong khi bối cảnh `chợ_đêm`, cửa hàng quần áo và hoạt động bán hàng.",2026-06-06T19:22:32+00:00
556,00000000556.jpg,True,False,wrong,unsure,False,False,True,True,False,,,"ViG mô tả đúng một số chi tiết như quầy và hàng; bỏ sót/giảm nhẹ các chi tiết hai, đông_lạnh, đồ và siêu_thị; lệch sang các chi tiết mặc, áo và đen.",2026-06-06T20:46:43+00:00
557,00000000557.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như tàu, di_chuyển và biển; bỏ sót/giảm nhẹ các chi tiết chụp, mặt_nước, lại, thuyền và trắng.",2026-06-06T20:46:55+00:00
560,00000000560.jpg,True,False,partial,specific,True,False,False,False,False,chợ;cờ,chợ,"Prediction đúng bối cảnh chung là phía trước khu chợ, nhưng còn khái quát và bỏ sót các chi tiết như cổng chợ, lá cờ treo và marker văn hóa `cờ`.",2026-06-06T19:23:27+00:00
563,00000000563.jpg,True,False,partial,generic,True,True,False,False,False,áo_dài,,"Prediction mô tả đúng bối cảnh chung là nhóm người trên sân khấu, nhưng quá khái quát và bỏ sót yếu tố văn hóa `áo_dài` cùng chi tiết các ông cụ mặc áo dài đen và trống.",2026-06-06T19:24:21+00:00
578,00000000578.jpg,True,False,partial,specific,True,False,False,False,False,chợ,,"Prediction đúng đối tượng quần áo được bày bán, nhưng lệch bối cảnh từ quầy hàng/khu chợ thành cửa hàng chung chung; bỏ sót marker `chợ`.",2026-06-06T19:25:14+00:00
579,00000000579.jpg,True,False,partial,specific,True,False,False,False,False,cờ,,"Prediction đúng bối cảnh đường phố và hoạt động di chuyển, nhưng quá chung khi dùng “phương tiện giao thông” thay vì nhóm xe máy; đồng thời bỏ sót chi tiết cột treo cờ và marker `cờ` .",2026-06-06T19:26:05+00:00
582,00000000582.jpg,True,False,correct,specific,False,False,False,False,False,,,,2026-06-06T19:26:37+00:00
588,00000000588.jpg,True,False,wrong,unsure,False,True,True,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết đặt, cầu_trượt, bãi, cỏ và sân_chơi; lệch sang các chi tiết vỉa_hè và hai.",2026-06-06T20:47:10+00:00
608,00000000608.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như cây, thông và noel; bỏ sót/giảm nhẹ các chi tiết sảnh, toà, nhà, khu_vực và đặt.",2026-06-06T20:47:19+00:00
623,00000000623.jpg,True,False,wrong,unsure,False,False,True,True,False,,khu_di_tích;di_tích_lịch_sử,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết thác, nước, vui_chơi, chân và chụp; sinh thêm cultural term di_tích_lịch_sử và khu_di_tích không phù hợp với ảnh; lệch sang các chi tiết khu, di_tích và lịch_sử.",2026-06-06T20:47:43+00:00
630,00000000630.jpg,True,False,partial,generic,True,True,False,False,False,đèn_lồng;ghe,,"Prediction đúng chủ thể và bối cảnh thuyền trên mặt nước, nhưng còn khái quát và bỏ sót các chi tiết quan trọng như `ghe`, `đèn_lồng` và khu vực bờ sông.",2026-06-06T19:27:48+00:00
653,00000000653.jpg,True,False,partial,generic,True,True,False,False,False,khu_di_tích,,"Prediction đúng bối cảnh công trình lịch sử và có người phía trước, nhưng còn khái quát, bỏ sót chi tiết cổng `khu_di_tích` và trang phục áo đen.",2026-06-06T19:28:47+00:00
657,00000000657.jpg,True,False,partial,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như siêu_thị; bỏ sót/giảm nhẹ các chi tiết sữa, hàng, kệ, mặt_hàng và bày_bán.",2026-06-06T20:47:55+00:00
672,00000000672.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như thịt, quầy và hàng; bỏ sót/giảm nhẹ các chi tiết mặc, áo, trắng, cầm và tay.",2026-06-06T20:48:01+00:00
676,00000000676.jpg,True,False,partial,generic,False,False,False,False,False,,khu_di_tích;di_tích_lịch_sử,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết mỏm, đá, tách, rời và nhau; sinh thêm cultural term di_tích_lịch_sử và khu_di_tích không phù hợp với ảnh; lệch sang các chi tiết khu, di_tích và lịch_sử.",2026-06-06T20:48:22+00:00
682,00000000682.jpg,True,False,correct,specific,False,False,False,False,False,,,ViG mô tả đúng một số chi tiết như trưng_bày;,2026-06-06T20:48:43+00:00
693,00000000693.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như đồ, trang_trí, giáng_sinh và món; bỏ sót/giảm nhẹ các chi tiết hàng, quầy, cầm, một_vài và dứng",2026-06-06T20:48:54+00:00
702,00000000702.jpg,True,False,wrong,specific,False,False,True,True,False,,,"ViG mô tả đúng một số chi tiết như cầm; bỏ sót/giảm nhẹ các chi tiết đội, mũ, đen, máy_ảnh và tường; lệch sang các chi tiết điện_thoại.",2026-06-06T20:49:05+00:00
706,00000000706.jpg,True,False,wrong,specific,False,False,True,True,False,,,"ViG mô tả đúng một số chi tiết như mặc, áo và quầy; bỏ sót/giảm nhẹ các chi tiết hai, vàng, tờ, giấy và đen; lệch sang các chi tiết xanh, tính và tiền.",2026-06-06T20:49:24+00:00
709,00000000709.jpg,True,False,wrong,generic,False,True,False,False,True,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết nhà, tầng, thượng, toà và cao_tầng; lệch sang các chi tiết lưng.",2026-06-06T20:49:36+00:00
718,00000000718.jpg,True,False,wrong,unsure,False,True,False,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết rượu, bậc, thang, uống và tay; lệch sang các chi tiết tường và tranh.",2026-06-06T20:49:58+00:00
719,00000000719.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như đồ, bày_bán, cửa_hàng và mặt_hàng; bỏ sót/giảm nhẹ các chi tiết lưu_niệm, quầy, hàng, hai và một_vài; lệch sang các chi tiết trang_trí.",2026-06-06T20:50:05+00:00
736,00000000736.jpg,True,False,wrong,unsure,False,False,True,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết ô, đầu, ngõ, cầm và di_chuyển; lệch sang các chi tiết tường và tranh.",2026-06-06T20:50:18+00:00
747,00000000747.jpg,True,False,wrong,specific,False,False,False,True,False,,,"ViG mô tả đúng một số chi tiết như một_vài; bỏ sót/giảm nhẹ các chi tiết gian_hàng, tụ_tập, nhóm, mặt_hàng và bày_bán; lệch sang các chi tiết cửa_hàng.",2026-06-06T20:50:32+00:00
749,00000000749.jpg,True,False,wrong,unsure,False,True,False,True,False,,,"ViG chưa khớp rõ với các chi tiết chính trong ảnh; bỏ sót/giảm nhẹ các chi tiết đội, mũ, vàng, bãi và rác; lệch sang các chi tiết một_vài và thuyền.",2026-06-06T20:50:45+00:00
756,00000000756.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như kệ và hàng; bỏ sót/giảm nhẹ các chi tiết sản_phẩm, chạm, tay, lựa_chọn và lựa.",2026-06-06T20:50:49+00:00
785,00000000785.jpg,True,False,correct,specific,False,False,False,False,False,,,"ViG mô tả đúng một số chi tiết như thanh_toán, khu_vực và siêu_thị; bỏ sót/giảm nhẹ các chi tiết áo, mặc, đen, quầy và tính.",2026-06-06T20:50:56+00:00
